Country/Territory,Status,PR Rating,CL Rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Pakistani Kashmir,NF,6,5,1,2,1,4,1,1,1,1,4,1,1,1,3,2,9,1,1,2,2,6,1,1,2,4,1,1,1,0,3,2,2,1,1,6,19,28
Palau,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,92
Panama,F,2,2,4,4,4,12,4,4,4,3,15,4,2,2,8,0,35,3,4,4,4,15,4,4,3,11,2,2,3,3,10,4,3,3,2,12,48,83
Papua New Guinea,PF,3,3,3,2,3,8,4,4,2,3,13,2,1,1,4,0,25,3,3,3,4,13,3,3,3,9,2,1,2,2,7,3,2,2,2,9,38,63
Paraguay,PF,3,3,3,4,3,10,3,4,3,2,12,2,1,2,5,0,27,2,4,3,3,12,3,3,2,8,2,1,2,2,7,3,3,2,2,10,37,64
Peru,F,2,3,4,4,3,11,4,4,3,2,13,3,2,2,7,0,31,3,4,4,4,15,3,3,2,8,2,2,2,2,8,4,3,2,2,11,42,73
Philippines,PF,3,3,3,3,3,9,3,3,2,3,11,3,2,2,7,0,27,2,4,4,4,14,3,2,3,8,2,0,0,1,3,3,2,3,2,10,35,62
Poland,F,1,2,4,4,4,12,4,4,4,4,16,3,3,2,8,0,36,3,4,3,4,14,3,3,4,10,1,3,4,3,11,4,4,3,3,14,49,85
Portugal,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,39,4,4,4,4,16,4,4,4,12,4,4,3,4,15,4,4,4,3,15,58,97
Qatar,NF,6,5,0,1,1,2,0,0,1,1,2,0,2,1,3,0,7,1,2,2,2,7,1,0,1,2,1,1,2,0,4,1,1,1,1,4,17,24
Romania,F,2,2,4,4,3,11,4,4,3,3,14,4,3,3,10,0,35,3,3,4,4,14,4,4,3,11,3,3,3,3,12,4,2,3,3,12,49,84
Russia,NF,7,6,0,0,0,0,1,0,1,1,3,0,1,1,2,0,5,0,1,1,1,3,1,0,2,3,1,1,0,0,2,2,1,2,2,7,15,20
Rwanda,NF,6,6,0,1,1,2,0,0,0,1,1,1,2,2,5,0,8,0,3,1,0,4,0,1,1,2,0,1,0,1,2,2,2,2,1,7,15,23
Samoa,F,2,2,3,3,3,9,3,3,3,3,12,3,3,3,9,0,30,3,3,4,4,14,4,3,3,10,4,3,4,3,14,3,3,3,3,12,50,80
San Marino,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,38,3,4,4,4,15,4,4,4,12,4,4,4,4,16,4,4,4,4,16,59,97
Sao Tome and Principe,F,2,2,4,4,3,11,4,4,3,3,14,4,2,3,9,0,34,3,4,4,4,15,4,3,3,10,3,3,3,3,12,4,3,2,2,11,48,82
Saudi Arabia,NF,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,3,0,0,0,0,1,1,0,0,2,0,1,0,1,2,7,7
Senegal,F,2,2,4,3,3,10,3,4,3,3,13,3,2,3,8,0,31,2,4,4,3,13,3,4,3,10,2,3,3,2,10,3,3,3,2,11,44,75
Serbia,F,3,2,3,3,3,9,3,3,3,3,12,3,2,2,7,0,28,2,4,3,4,13,4,3,3,10,2,2,3,2,9,4,3,3,3,13,45,73
Seychelles,PF,3,3,3,4,3,10,3,3,3,2,11,3,2,2,7,0,28,2,4,3,3,12,3,3,3,9,2,3,3,3,11,3,3,2,3,11,43,71
Sierra Leone,PF,3,3,3,3,4,10,2,3,3,3,11,3,1,3,7,0,28,2,4,3,3,12,2,3,2,7,2,2,3,2,9,3,3,2,2,10,38,66
Singapore,PF,4,4,1,2,1,4,2,2,2,2,8,2,3,2,7,0,19,2,3,2,3,10,2,1,1,4,1,2,2,2,7,3,3,3,3,12,33,52
Slovakia,F,1,1,4,4,4,12,4,4,4,3,15,4,3,2,9,0,36,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,4,3,3,14,53,89
Slovenia,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,39,3,3,4,4,14,4,4,4,12,3,4,4,3,14,4,4,3,3,14,54,93
Solomon Islands,F,3,2,3,3,3,9,4,4,2,3,13,2,3,1,6,0,28,3,4,4,3,14,3,3,3,9,3,2,2,2,9,3,3,3,3,12,44,72
Somalia,NF,7,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,3,1,1,0,2,0,0,0,0,0,0,1,0,0,1,6,7
Somaliland,PF,4,5,3,0,2,5,3,3,2,2,10,1,1,2,4,0,19,1,2,2,2,7,1,2,2,5,2,2,1,2,7,2,2,1,1,6,25,44
South Africa,F,2,2,4,4,4,12,3,3,3,4,13,2,2,3,7,0,32,3,4,4,4,15,4,4,4,12,3,2,2,2,9,3,3,2,2,10,46,78
South Korea,F,2,2,4,4,3,11,3,4,3,3,13,4,3,2,9,0,33,3,4,3,4,14,4,3,4,11,4,3,3,3,13,4,3,3,3,13,51,84
South Ossetia,NF,7,6,0,1,1,2,1,1,0,0,2,0,0,0,0,2,2,0,1,1,1,3,1,0,0,1,0,0,0,1,1,1,0,2,0,3,8,10
