"","Country","ISO","ef","gdp","continent"
"55","Kuwait","KWT",7.14,35888.58096,"Asia"
"56","Lebanon","LBN",7.06,7045.493577,"Asia"
"57","Lesotho","LSO",6.66,1370.265877,"Africa"
"58","Liberia","LBR",7.22,367.1645151,"Africa"
"59","Madagascar","MDG",6.54,409.9236772,"Africa"
"60","Malawi","MWI",5.79,493.6633002,"Africa"
"61","Malaysia","MYS",7.25,10878.38926,"Asia"
"62","Mali","MLI",5.97,720.8098187,"Africa"
"63","Mauritius","MUS",7.98,9468.940702,"Africa"
"64","Mexico","MEX",6.88,9510.596254,"Americas"
"65","Mongolia","MNG",7.39,3946.28078,"Asia"
"66","Montenegro","MNE",7.27,7262.657787,"Europe"
"67","Morocco","MAR",6.42,3239.552036,"Africa"
"68","Mozambique","MOZ",5.81,511.4673298,"Africa"
"69","Myanmar","MMR",5.39,1308.746906,"Asia"
"70","Namibia","NAM",6.8,6000.037665,"Africa"
"71","Nepal","NPL",6.54,689.514291,"Asia"
"72","Netherlands","NLD",7.63,51258.17143,"Europe"
"73","New Zealand","NZL",8.35,36801.39567,"Oceania"
"74","Nicaragua","NIC",7.39,1849.029086,"Americas"
"75","Niger","NER",6.05,383.8307321,"Africa"
"76","Nigeria","NGA",6.45,2534.816386,"Africa"
"77","Norway","NOR",7.51,89590.81352,"Europe"
"78","Oman","OMN",7.27,15965.94012,"Asia"
"79","Pakistan","PAK",6.01,1142.752196,"Asia"
"80","Panama","PAN",7.47,10750.93685,"Americas"
"81","Paraguay","PRY",6.88,3822.860615,"Americas"
"82","Peru","PER",7.35,5934.547574,"Americas"
"83","Philippines","PHL",7.01,2639.868434,"Asia"
"84","Poland","POL",7.42,14655.16155,"Europe"
"85","Portugal","PRT",7.49,21969.1478,"Europe"
"86","Romania","ROU",7.66,9538.872221,"Europe"
"87","Rwanda","RWA",7.38,689.6884541,"Africa"
"88","Saudi Arabia","SAU",6.95,21312.80718,"Asia"
"89","Senegal","SEN",6.42,1042.494703,"Africa"
"90","Serbia","SRB",6.68,5663.392381,"Europe"
"91","Sierra Leone","SLE",5.92,490.5640686,"Africa"
"92","Singapore","SGP",8.71,51855.07945,"Asia"
"93","Slovenia","SVN",6.73,23781.29225,"Europe"
"94","South Africa","ZAF",6.64,7585.758055,"Africa"
"95","Spain","ESP",7.38,30465.60489,"Europe"
"96","Sri Lanka","LKA",6.52,3637.53913,"Asia"
"97","Swaziland","SWZ",6.77,4057.284441,"Africa"
"98","Sweden","SWE",7.46,55163.63538,"Europe"
"99","Switzerland","CHE",8.25,75582.05429,"Europe"
"100","Tanzania","TZA",6.84,842.3737544,"Africa"
"101","Thailand","THA",6.56,5775.13676,"Asia"
"102","Togo","TGO",5.89,553.8602437,"Africa"
"103","Tunisia","TUN",6.54,4272.47951,"Africa"
"104","Turkey","TUR",6.86,11522.70512,"Europe"
"105","Uganda","UGA",7.34,672.8086555,"Africa"
"106","United Kingdom","GBR",7.93,41182.61952,"Europe"
"107","United States","USA",7.75,51638.06521,"Americas"
"108","Uruguay","URY",7.08,13943.90435,"Americas"
"109","Vietnam","VNM",6.43,1684.69149,"Asia"
"110","Yemen, Rep.","YEM",6.44,774.4504935,"Asia"
"111","Zambia","ZMB",7.04,1607.358312,"Africa"
"112","Zimbabwe","ZWE",5.28,814.5603652,"Africa"
